id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,relevance_score
li-4344721609,linkedin,https://www.linkedin.com/jobs/view/4344721609,,Quantitative Trader - Options Market Making,Two Sigma,"New York, United States",2025-12-18,,,,,,,,,,,,,https://www.linkedin.com/company/two-sigma-investments,,,,,,,1.0
li-3859592611,linkedin,https://www.linkedin.com/jobs/view/3859592611,,Quantitative Trader,GTS,"New York, NY",2025-12-17,,,,,,,,,,,,,https://www.linkedin.com/company/global-trading-systems,,,,,,,1.0
li-4343636948,linkedin,https://www.linkedin.com/jobs/view/4343636948,,Quantitative Trader,BHFT,"New York, NY",2025-12-15,,,,,,,,,,,,,https://ae.linkedin.com/company/bhft-com,,,,,,,1.0
li-4327791686,linkedin,https://www.linkedin.com/jobs/view/4327791686,,Quantitative Trader,"Greythorne Associates, LLC","Miami, FL",2025-12-15,,,,,,,,,,,,,https://www.linkedin.com/company/greythorne-associates-llc,,,,,,,1.0
li-4349115215,linkedin,https://www.linkedin.com/jobs/view/4349115215,,Quantitative Trader,OnlyGenius,,2025-12-09,,,,,,,,,,,,,https://www.linkedin.com/company/onlygenius,,,,,,,1.0
li-4342556484,linkedin,https://www.linkedin.com/jobs/view/4342556484,,Quantitative Trader - Equity Options,Selby Jennings,"Chicago, IL",2025-12-08,,,,,,,,,,,,,https://uk.linkedin.com/company/selby-jennings,,,,,,,1.0
li-4264631889,linkedin,https://www.linkedin.com/jobs/view/4264631889,,Quantitative Trader (2026),Tower Research Capital,"New York, NY",2025-12-06,,,,,,,,,,,,,https://www.linkedin.com/company/tower-research-capital,,,,,,,1.0
li-4342218130,linkedin,https://www.linkedin.com/jobs/view/4342218130,,Quantitative Trader,AAA Global,,2025-12-05,,,,,,,,,,,,,https://uk.linkedin.com/company/aaaglobal,,,,,,,1.0
li-4347487915,linkedin,https://www.linkedin.com/jobs/view/4347487915,,Quantitative Trader,Anson McCade,"New York, United States",2025-11-25,,,,,,,,,,,,,https://uk.linkedin.com/company/anson-mccade,,,,,,,1.0
li-4323695614,linkedin,https://www.linkedin.com/jobs/view/4323695614,,Quantitative Traders,Mercor,"New York, NY",2025-11-21,,,,,,,,,,,,,https://www.linkedin.com/company/mercor-ai,,,,,,,1.0
li-4311259007,linkedin,https://www.linkedin.com/jobs/view/4311259007,,Junior Quantitative Trader,Edgehog Trading,"Chicago, IL",2025-10-08,,,,,,,,,,,,,https://www.linkedin.com/company/edgehog-trading,,,,,,,1.0
li-4244245479,linkedin,https://www.linkedin.com/jobs/view/4244245479,,Junior Quantitative Trader,TransMarket Group,"Chicago, IL",2025-06-04,,,,,,,,,,,,,https://www.linkedin.com/company/transmarket-group,,,,,,,1.0
li-4344863132,linkedin,https://www.linkedin.com/jobs/view/4344863132,,Portfolio and Quantitative Analytics Analyst - Lazard Wealth,Lazard Asset Management,"New York, United States",2025-12-18,,,,,,,,,,,,,https://www.linkedin.com/company/lazard-asset-management,,,,,,,0.9
li-4343483197,linkedin,https://www.linkedin.com/jobs/view/4343483197,,HFT Quant Trader | Remote (US Equities),AAA Global,"Illinois, United States",2025-12-12,,,,,,,,,,,,,https://uk.linkedin.com/company/aaaglobal,,,,,,,0.9
li-4343313977,linkedin,https://www.linkedin.com/jobs/view/4343313977,,"Quantitative Prop Trader | Chicago, USA",AAA Global,"Illinois, United States",2025-12-12,,,,,,,,,,,,,https://uk.linkedin.com/company/aaaglobal,,,,,,,0.9
li-4278207774,linkedin,https://www.linkedin.com/jobs/view/4278207774,,Discretionary Trader,Anson McCade,"New York, United States",2025-12-01,,,,,,,,,,,,,https://uk.linkedin.com/company/anson-mccade,,,,,,,0.9
li-4316321539,linkedin,https://www.linkedin.com/jobs/view/4316321539,,Equities Quant Trader,Man Group,"Boston, MA",2025-11-30,,,,,,,,,,,,,https://uk.linkedin.com/company/man-group-plc,,,,,,,0.9
li-4338864903,linkedin,https://www.linkedin.com/jobs/view/4338864903,,Options Trader (US hours),G-20 Strategies AG,"New York, NY",2025-10-30,,,,,,,,,,,,,https://www.linkedin.com/company/g-20-strategies-ag,,,,,,,0.9
li-4274669957,linkedin,https://www.linkedin.com/jobs/view/4274669957,,Quant Trader- Dragonfly Portfolio,Dragonfly,,2025-08-02,,,,,,,,,,,,,https://www.linkedin.com/company/dragonfly-capital-partners,,,,,,,0.9
li-4244246177,linkedin,https://www.linkedin.com/jobs/view/4244246177,,Junior Algorithmic Trader,TransMarket Group,"Chicago, IL",2025-06-04,,,,,,,,,,,,,https://www.linkedin.com/company/transmarket-group,,,,,,,0.9
