id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,relevance_score
li-4313391788,linkedin,https://www.linkedin.com/jobs/view/4313391788,,Quant Developer/Researcher – Hedge Fund (C#),Saragossa,,2025-11-07,,,,,,,,,,,,,https://uk.linkedin.com/company/saragossa,,,,,,,1.0
li-4335950615,linkedin,https://www.linkedin.com/jobs/view/4335950615,,Quantitative Developer,Upward Trend,"New York, United States",2025-12-16,,,,,,,,,,,,,https://uk.linkedin.com/company/upward-trend,,,,,,,0.9
li-4335783867,linkedin,https://www.linkedin.com/jobs/view/4335783867,,Quantitative Developer,Upward Trend,"New York, United States",2025-12-16,,,,,,,,,,,,,https://uk.linkedin.com/company/upward-trend,,,,,,,0.9
li-4349532828,linkedin,https://www.linkedin.com/jobs/view/4349532828,,Quantitative Developer (Python or C++),Durlston Partners,"New York, United States",2025-12-10,,,,,,,,,,,,,https://uk.linkedin.com/company/durlston-partners,,,,,,,0.9
li-4300367074,linkedin,https://www.linkedin.com/jobs/view/4300367074,,Quantitative Developer - Trading Technology,Acquire Me,,2025-12-08,,,,,,,,,,,,,https://uk.linkedin.com/company/acquireme,,,,,,,0.9
li-4347833935,linkedin,https://www.linkedin.com/jobs/view/4347833935,,AI/ML Quantitative Developer,Acquire Me,"New York, United States",2025-11-28,,,,,,,,,,,,,https://uk.linkedin.com/company/acquireme,,,,,,,0.9
li-4323519495,linkedin,https://www.linkedin.com/jobs/view/4323519495,,Quantitative Developer - Systematic Equity,Newton Chase,"Texas, United States",2025-11-21,,,,,,,,,,,,,https://uk.linkedin.com/company/newton-chase,,,,,,,0.9
li-4340601800,linkedin,https://www.linkedin.com/jobs/view/4340601800,,Junior Quantitative Developer,Scientech Research LLC,"Jersey City, NJ",2025-11-14,,,,,,,,,,,,,https://www.linkedin.com/company/scientech-research-llc,,,,,,,0.9
li-4296647917,linkedin,https://www.linkedin.com/jobs/view/4296647917,,2026 Cubist Quant Academy – Researchers,Point72,"New York, United States",2025-09-06,,,,,,,,,,,,,https://www.linkedin.com/company/point72-asset-management-l-p-,,,,,,,0.9
li-4259761771,linkedin,https://www.linkedin.com/jobs/view/4259761771,,Quantitative Developer,Point72,"New York, United States",2025-07-01,,,,,,,,,,,,,https://www.linkedin.com/company/point72-asset-management-l-p-,,,,,,,0.9
li-4252838259,linkedin,https://www.linkedin.com/jobs/view/4252838259,,Quantitative Developer,Vatic Labs,"New York, United States",2025-06-17,,,,,,,,,,,,,https://www.linkedin.com/company/vaticlabs,,,,,,,0.9
li-4248386709,linkedin,https://www.linkedin.com/jobs/view/4248386709,,Quantitative Developer,Point72,"New York, United States",2025-06-11,,,,,,,,,,,,,https://www.linkedin.com/company/point72-asset-management-l-p-,,,,,,,0.9
li-4236460464,linkedin,https://www.linkedin.com/jobs/view/4236460464,,Quantitative Developer,Point72,"New York, United States",2025-05-24,,,,,,,,,,,,,https://www.linkedin.com/company/point72-asset-management-l-p-,,,,,,,0.9
li-3813325023,linkedin,https://www.linkedin.com/jobs/view/3813325023,,Quantitative Analyst/Software Developer,Point72,"New York, United States",2024-01-23,,,,,,,,,,,,,https://www.linkedin.com/company/point72-asset-management-l-p-,,,,,,,0.9
li-4345463571,linkedin,https://www.linkedin.com/jobs/view/4345463571,,Quantitative Developer (Python/AWS) | Elite Boston Hedge Fund (New Team Build),Delmar Nord,"Boston, MA",,,,,,,,,,,,,,https://www.linkedin.com/company/delmar-nord,,,,,,,0.9
li-4345293655,linkedin,https://www.linkedin.com/jobs/view/4345293655,,Quantitative Developer (C++ expert) | New Team Build (Seattle) | Elite Quant Hedge Fund,Delmar Nord,,,,,,,,,,,,,,,https://www.linkedin.com/company/delmar-nord,,,,,,,0.9
