id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,relevance_score
li-4342938561,linkedin,https://www.linkedin.com/jobs/view/4342938561,,Trading Operations Specialist,WhiteCap Search,"New York, NY",2025-12-10,,,,,,,,,,,,,https://www.linkedin.com/company/whitecapsearch,,,,,,,0.9
li-4326198155,linkedin,https://www.linkedin.com/jobs/view/4326198155,,QIS (Quantitative Investment Strategies) Product Specialist,"SG Americas Securities, LLC","New York, NY",2025-12-08,,,,,,,,,,,,,https://www.linkedin.com/company/sg-americas-securities-llc,,,,,,,0.9
li-4348374652,linkedin,https://www.linkedin.com/jobs/view/4348374652,,Trading Operations Specialist,Atto Trading,"New York County, NY",2025-12-04,,,,,,,,,,,,,https://www.linkedin.com/company/atto-trading,,,,,,,0.9
li-4325324448,linkedin,https://www.linkedin.com/jobs/view/4325324448,,Quantitative Developer #983528,Dexian,"Jersey City, NJ",2025-12-02,,,,,,,,,,,,,https://www.linkedin.com/company/dexiansolutions,,,,,,,0.9
li-4347685437,linkedin,https://www.linkedin.com/jobs/view/4347685437,,Quantitative Analyst / Specialist,Dexian,"Jersey City, NJ",2025-11-26,,,,,,,,,,,,,https://www.linkedin.com/company/dexiansolutions,,,,,,,0.9
li-4335596211,linkedin,https://www.linkedin.com/jobs/view/4335596211,,Trading Operations Specialist,Atto Trading,"New York, NY",2025-11-12,,,,,,,,,,,,,https://www.linkedin.com/company/atto-trading,,,,,,,0.9
